titlelb;publicscore;id
Being Julia;3,2;18701
Bella;3,1;12586
Beloved;3,2;39437
Below Zero;3;107315
Bend It Like Beckham;3,3;455
Bending Steel;3,5;174362
Beneath Hill 60;3,3;43418
Beneath the Planet of the Apes;2,8;1685
Ben-Hur;2,4;271969
Benji;2,9;23069
Beowulf;2,6;2310
Bernie;3,5;92591
Best in Show;3,9;13785
Better Luck Tomorrow;3,5;14290
Betty Fisher et autres histoires;3,2;55903
Beverly Hills Chihuahua;2;14405
Beverly Hills Cop;3,6;90
Beverly Hills Cop II;3,2;96
Beverly Hills Cop III;2,5;306
Beyond Borders;2,9;9839
Beyond the Black Rainbow;3,3;50037
Beyond the Lights;3,4;241771
Beyond the Mat;3,7;14271
Beyond the Sea;2,9;6478
Beyond the Valley of the Dolls;3,6;5722
B-Girl;2,8;26837
Bicentennial Man;3,1;2277
Bienvenue chez les ch'tis;3,2;8265
Big;3,6;2280
Big Daddy;3,1;9032
Big Eyes;3,3;87093
Big Fat Liar;2,7;11870
Big Fish;3,8;587
Big Hero 6;3,8;177572
Big Miracle;2,9;78698
Big Momma's House;2,3;9600
Big Momma's House 2;2,2;11565
Big Mommas: Like Father;2;38322
Big Trouble;2,8;2185
Big Trouble in Little China;3,7;6978
Bill & Ted's Bogus Journey;3,3;1649
Bill & Ted's Excellent Adventure;3,7;1648
Billy Elliot;3,9;71
Birdman;3,8;194662
Birth;3,6;10740
Birthday Girl;2,8;2084
Biutiful;3,7;45958
Bizarre;2,6;318040
Black Christmas;3,9;9656
Black Hawk Down;3,6;855
Black Knight;2,2;11469
Black Mass;3;261023
Black Nativity;2,5;175541
Black November;2,7;312113
Black or White;2,9;253331
Black Rain;3,1;4105
Black Rock;2,4;84178
Black Snake Moan;3,2;7874
Black Swan;4,1;44214
Black Water Transit;-;310706
Blackhat;2,9;201088
Blackthorn;3,2;68818
Blade;3,4;36647
Blade II;3,2;36586
Blade Runner;4,1;78
Blade: Trinity;2,3;36648
Blades of Glory;2,9;9955
Blast from the Past;3,2;11622
Blazing Saddles;3,9;11072
Bled;2,7;22530
Bleeding Hearts;2,8;310933
Blended;2,9;232672
Bless the Child;2,2;10391
Blindness;3,2;8338
Blonde Ambition;2;15017
Blood and Chocolate;2,2;10075
Blood and Wine;2,8;31640
Blood Diamond;3,6;1372
Blood Done Sign My Name;3,3;41894
Blood Ties;2,9;190955
Blood Work;2,9;9573
BloodRayne;1,4;168705
Bloodsport;3,3;11690
Bloody Sunday;3,8;4107
Blow;3,4;4133
Blow Out;4;11644
Blue Car;3;46989
Blue Crush;2,8;9266
Blue Jasmine;3,6;160588
Blue Like Jazz;2,8;98369
Blue Ruin;3,7;188166
Blue Streak;2,9;11001
Blue Valentine;3,8;46705
Boat Trip;1,8;9557
Bobby;3;10741
Bobby Jones: Stroke of Genius;2,9;24747
Body Double;3,7;11507
Body of Lies;3;12113
Bodyguards and Assassins;3,2;30596
Bogus;2,5;3587
Boiler Room;3,2;14181
Bolt;3;13053
Bon Cop Bad Cop;3,1;15049
Bon voyage;3,2;14652
Boogeyman;1,8;8968
Boogie Nights;4,2;4995
Book of Shadows: Blair Witch 2;1,9;11531
Boom Town;3,2;55604
Boomerang;2,9;11066
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;3,7;496
Born Of War;2,7;299552
Born on the Fourth of July;3,6;2604
Born to Fly: Elizabeth Streb vs. Gravity;3,4;253261
Bottle Rocket;3,5;13685
Bottle Shock;3;13996
Bound;3,9;9303
Bound by Honor;3,9;9702
Bowfinger;3,3;11353
Bowling for Columbine;3,7;1430
