filme;nota;;;;;;
Battlefield Earth;1,1;;;3172;Bandits;;0
Battleship;2,1;;;23367;Bandslam;;0
Be Cool;2,4;;;124606;Bang;;0
Be Kind Rewind;3,2;;;269057;Bang Bang Baby;;0
Beastly;2,2;;;13184;Bangkok Dangerous;;0
Beastmaster 2: Through the Portal of Time;2,6;;;10045;Banlieue 13;;0
Beasts of the Southern Wild;3,7;;;207769;Banshee Chapter;;0
Beat the World;2,5;;;8069;Barbarella;;0
Beautiful Creatures;2,5;;;250349;Barbecue;;0
Beauty Shop;2,9;;;10611;Barbershop;;0
Beavis and Butt-Head Do America;3,4;;;21301;Barbershop 2:  Back in Business;;0
Because I Said So;2,5;;;17644;Barney's Great Adventure;;0
Because of Winn-Dixie;3;;;46829;Barney's Version;;0
Becoming Jane;3,4;;;9907;Barnyard;;0
Bedazzled;2,8;;;3175;Barry Lyndon;;0
Bedtime Stories;2,6;;;44594;Barry Munday;;0
Bee Movie;2,8;;;10782;Basic;;0
Beer League;2,7;;;3093;Basic Instinct 2;;0
Beerfest;2,9;;;549;Basquiat;;0
Beetlejuice;3,8;;;43546;Bathing Beauty;;0
Before I Go to Sleep;2,9;;;15208;Bathory;;0
Before Midnight;4,1;;;268;Batman;;0
Before Sunrise;4,3;;;2661;Batman;;0
Before Sunset;4,3;;;415;Batman & Robin;;0
Begin Again;3,6;;;272;Batman Begins;;0
Beginners;3,9;;;414;Batman Forever;;0
Behind Enemy Lines;2,9;;;364;Batman Returns;;0
Being John Malkovich;4;;;209112;Batman v Superman: Dawn of Justice;;0
Being Julia;3,2;;;142061;Batman: The Dark Knight Returns, Part 2;;0
Bella;3,1;;;10496;Bats;;0
Beloved;3,2;;;1705;Battle for the Planet of the Apes;;0
Below Zero;3;;;109417;Battle of the Year;;0
Bend It Like Beckham;3,3;;;44943;Battle: Los Angeles;;0
Bending Steel;3,5;;;5491;Battlefield Earth;;0
Beneath Hill 60;3,3;;;44833;Battleship;;0
Beneath the Planet of the Apes;2,8;;;4551;Be Cool;;0
Ben-Hur;2,4;;;4953;Be Kind Rewind;;0
Benji;2,9;;;38117;Beastly;;0
